version,exposure,effect,estimate,ci_lower,ci_upper,p_value,m,notes
historical_document_checkpoint,continuous_per_1000_ml_day,proportion_mediated,0.135,0.043,0.319,0.002,1,first completed dataset only
historical_document_checkpoint,binary_median_split,proportion_mediated,0.121,,,,1,first completed dataset only
validated_mi_rubin,continuous_per_1000_ml_day,ACME,0.0024935,0.0004630,0.0045240,0.0161,20,Rubin pooled
validated_mi_rubin,continuous_per_1000_ml_day,ADE,0.0148883,0.0088610,0.0209150,,20,Rubin pooled
validated_mi_rubin,continuous_per_1000_ml_day,total_effect,0.0173817,0.0119820,0.0227820,,20,Rubin pooled
validated_mi_rubin,continuous_per_1000_ml_day,proportion_mediated,0.1434532,0.0546567,0.3266614,,20,logit delta interval using pooled covariance
validated_mi_rubin,binary_median_split,ACME,0.0150066,,,,20,Rubin pooled
validated_mi_rubin,binary_median_split,ADE,0.0828419,,,,20,Rubin pooled
validated_mi_rubin,binary_median_split,total_effect,0.0978485,,,,20,Rubin pooled
validated_mi_rubin,binary_median_split,proportion_mediated,0.1533652,0.0597163,0.3406679,,20,logit delta interval using pooled covariance
