version,exposure,outcome,effect_measure,estimate,ci_lower,ci_upper,windows,patients,note
historical_document_checkpoint,fluid_intake_ml,iap_next,beta_per_1000_ml,0.1871546,,,2188,771,unscaled historical fit
historical_document_checkpoint,fluid_intake_ml,iap15_next,or_per_1000_ml,1.1029255,,,2188,771,unscaled historical fit
historical_document_checkpoint,fluid_intake_ml,iap20_next,or_per_1000_ml,1.1381360,,,2188,771,unscaled historical fit
historical_document_checkpoint,estimated_fluid_balance_ml,iap_next,beta_per_1000_ml,0.3019795,,,2188,771,unscaled historical fit
historical_document_checkpoint,estimated_fluid_balance_ml,iap15_next,or_per_1000_ml,1.2274700,,,2188,771,unscaled historical fit
historical_document_checkpoint,estimated_fluid_balance_ml,iap20_next,or_per_1000_ml,1.2535240,,,2188,771,unscaled historical fit
validated_scaled_converged,fluid_intake_ml,iap_next,beta_per_1000_ml,0.1869303081,0.0849979509,0.2888626654,2188,771,preferred exact checkpoint
validated_scaled_converged,fluid_intake_ml,iap15_next,or_per_1000_ml,1.1056516136,1.0077407252,1.2130754073,2188,771,preferred exact checkpoint
validated_scaled_converged,fluid_intake_ml,iap20_next,or_per_1000_ml,1.1328753953,1.0207574247,1.2573081815,2188,771,preferred exact checkpoint
validated_scaled_converged,estimated_fluid_balance_ml,iap_next,beta_per_1000_ml,0.3024090627,0.2278475161,0.3769706094,2188,771,preferred exact checkpoint
validated_scaled_converged,estimated_fluid_balance_ml,iap15_next,or_per_1000_ml,1.2334990495,1.1475357342,1.3259019826,2188,771,preferred exact checkpoint
validated_scaled_converged,estimated_fluid_balance_ml,iap20_next,or_per_1000_ml,1.2506205229,1.1533869078,1.3560511929,2188,771,preferred exact checkpoint
