version,outcome,window,effect_measure,estimate,ci_lower,ci_upper,p_interaction_vs_day1,windows,patients
historical_document_checkpoint,continuous_iap,D1_D2,beta_per_1000_ml,0.098,-0.026,0.223,,2188,771
historical_document_checkpoint,continuous_iap,D2_D3,beta_per_1000_ml,0.262,0.048,0.476,0.066,2188,771
historical_document_checkpoint,continuous_iap,D3_D5,beta_per_1000_ml,0.339,0.094,0.584,0.025,2188,771
historical_document_checkpoint,continuous_iap,D5_D7,beta_per_1000_ml,0.431,0.191,0.671,0.0015,2188,771
historical_document_checkpoint,iap15,D1_D2,or_per_1000_ml,1.031,0.911,1.167,,2188,771
historical_document_checkpoint,iap15,D2_D3,or_per_1000_ml,1.153,0.934,1.423,0.203,2188,771
historical_document_checkpoint,iap15,D3_D5,or_per_1000_ml,1.343,1.055,1.709,0.012,2188,771
historical_document_checkpoint,iap15,D5_D7,or_per_1000_ml,1.321,1.042,1.675,0.016,2188,771
validated_full_covariance,continuous_iap,D1_D2,beta_per_1000_ml,0.0981354662,-0.0263242527,0.2225951850,,2188,771
validated_full_covariance,continuous_iap,D2_D3,beta_per_1000_ml,0.2621833759,0.1320312857,0.3923354661,0.0653438568,2188,771
validated_full_covariance,continuous_iap,D3_D5,beta_per_1000_ml,0.3392806619,0.1630135757,0.5155477480,0.0252844219,2188,771
validated_full_covariance,continuous_iap,D5_D7,beta_per_1000_ml,0.4307703860,0.2604235695,0.6011172025,0.0014947200,2188,771
validated_full_covariance,iap15,D1_D2,or_per_1000_ml,1.0306584550,0.9100770006,1.1672164555,,2188,771
validated_full_covariance,iap15,D2_D3,or_per_1000_ml,1.1551836187,1.0215053594,1.3063555474,0.1911958612,2188,771
validated_full_covariance,iap15,D3_D5,or_per_1000_ml,1.3497512870,1.1383509816,1.6004102128,0.0111006338,2188,771
validated_full_covariance,iap15,D5_D7,or_per_1000_ml,1.3276338003,1.1259473839,1.5654474916,0.0145736892,2188,771
