section,analysis,outcome,effect_measure,estimate,ci_lower,ci_upper,p_value,patients,windows,release_status
Abstract and Table 2,Model 3 fluid intake,daily maximum IAP,beta per 1000 mL,0.19,0.09,0.29,<0.001,771,2188,manuscript rounded display
Abstract and Table 2,Model 3 fluid balance,daily maximum IAP,beta per 1000 mL,0.30,0.23,0.38,<0.001,771,2188,manuscript rounded display
Abstract and Table 2,Model 3 fluid intake,daily maximum IAP >=15 mmHg,OR per 1000 mL,1.10,1.01,1.21,0.034,771,2188,manuscript rounded display
Abstract and Table 2,Model 3 fluid balance,daily maximum IAP >=15 mmHg,OR per 1000 mL,1.23,1.14,1.32,<0.001,771,2188,manuscript rounded display
Abstract and Table 3,MSM original weights,daily maximum IAP >=15 mmHg,OR above vs below median,1.319,1.130,1.539,0.0004,773,2863,exact aggregate
Table 3,AIPW primary,daily maximum IAP >=15 mmHg,OR above vs below median,1.502,1.304,1.707,<0.001,773,2863,exact aggregate rounded for display
Table 3,AIPW primary,daily maximum IAP,ATE above vs below median,0.941,0.715,1.160,<0.001,773,2863,exact aggregate rounded for display
Abstract Figure 5 and Table 4,time-window Day 1 to 2,daily maximum IAP,beta per 1000 mL,0.098,-0.026,0.223,,771,2188,archived exact document output
Abstract Figure 5 and Table 4,time-window Day 5 to 7,daily maximum IAP,beta per 1000 mL,0.431,0.191,0.671,0.0015,771,2188,archived exact document output
Figure 5 and Table 4,time-window Day 1 to 2,daily maximum IAP >=15 mmHg,OR per 1000 mL,1.031,0.911,1.167,,771,2188,archived exact document output
Figure 5 and Table 4,time-window Day 5 to 7,daily maximum IAP >=15 mmHg,OR per 1000 mL,1.321,1.042,1.675,0.0163,771,2188,archived exact document output
Abstract Figure 6 and Table 5,MI-Rubin mediation,total mortality risk difference,risk difference per 1000 mL-day,0.0174,0.0120,0.0228,<0.001,801,,exact aggregate rounded for display
Abstract Figure 6 and Table 5,MI-Rubin mediation,indirect mortality risk difference,risk difference per 1000 mL-day,0.0025,0.0005,0.0045,0.016,801,,exact aggregate rounded for display
Abstract Figure 6 and Table 5,MI-Rubin mediation,proportion mediated,proportion,0.143,0.055,0.327,,801,,exact aggregate rounded for display
